Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Morelia, MICH, México",,Week 52 (Dec),79.1,46.7,64.2,,,0.35,,9.2,,27.9,65.88
,"Morelia, MICH, México",,Week 1 (Jan),82.1,30.1,59.7,40.9,80.4,0,,21.9,28.9,28.9,62.88
,"Morelia, MICH, México",,Week 2 (Jan),81.8,32.1,57.3,41.5,79.8,0.78,,17.2,,22.6,63.68
,"Morelia, MICH, México",,Week 3 (Jan),80.9,33.9,59,41.3,81.5,1.36,,17.9,,28.7,63.35
,"Morelia, MICH, México",,Week 4 (Jan),82.7,33.9,59.8,39.2,80.5,0.5,,18.3,,32.7,62.26
,"Morelia, MICH, México",,Week 5 (Jan),86.1,33.9,59.5,40.5,83,0.09,,21.9,,28.5,58.92
,"Morelia, MICH, México",,Week 6 (Feb),85.4,33.9,60.9,44.3,83,1.14,,23,,30.5,59.15
,"Morelia, MICH, México",,Week 7 (Feb),87.2,39.3,62.9,,85.3,1.14,,23,,28.4,58.18
,"Morelia, MICH, México",,Week 8 (Feb),87.7,39.3,64.9,,84.8,0.09,,20.8,,17.6,55.35
,"Morelia, MICH, México",,Week 9 (Feb),87.2,42.7,66,,88.3,0.51,,17.2,,14.9,56.91
,"Morelia, MICH, México",,Week 10 (Mar),89.7,35.7,65.9,35.6,90.1,1.77,,31.1,,29.9,55.16
,"Morelia, MICH, México",,Week 11 (Mar),89,35.7,64.9,43.3,87.6,6.86,,18.3,,31.1,56.98
,"Morelia, MICH, México",,Week 12 (Mar),91.5,44.5,66.1,,88.2,1.63,,19.7,,22.8,57.16
,"Morelia, MICH, México",,Week 13 (Mar),93.3,46.3,69,,90.1,0.2,,20.8,,13.9,48.26
,"Morelia, MICH, México",,Week 14 (Apr),93.3,39.3,69.6,46.1,93.2,0.2,47.2,16.1,,22.2,49.31
,"Morelia, MICH, México",,Week 15 (Apr),92.6,46.3,69.9,,92,0.34,,18.3,,20.5,44.8
,"Morelia, MICH, México",,Week 16 (Apr),92.9,46.5,70.9,,93.6,0.5,,15.7,15,21.7,47.37
,"Morelia, MICH, México",,Week 17 (Apr),93.3,42.9,72.1,,94,0.56,,19.7,,24.5,45.37
,"Morelia, MICH, México",,Week 18 (Apr),97.1,49.9,70.9,,92.5,13.35,,24.2,38,34.3,52.94
,"Morelia, MICH, México",,Week 19 (May),92.6,46.3,70.2,,89.4,5.07,,18.3,,35.4,55.88
,"Morelia, MICH, México",,Week 20 (May),95.6,49.9,72.9,,92.4,1.76,,19.7,,25.7,51.56
,"Morelia, MICH, México",,Week 21 (May),97.1,50.1,73.4,,94.7,4.2,,28.9,,29.1,56.25
,"Morelia, MICH, México",,Week 22 (May),95.6,48.1,71.2,,94.1,6.67,,18.3,24.2,38.9,60.71
,"Morelia, MICH, México",,Week 23 (Jun),94.4,55.1,71.1,,95.6,10.91,,22.3,27.7,48.7,64.11
,"Morelia, MICH, México",,Week 24 (Jun),88.4,49.9,70,,88.1,10.46,,21.9,21.9,48.6,67.46
,"Morelia, MICH, México",,Week 25 (Jun),91.5,55.3,69.4,,97.3,7.05,,28.9,,55.5,67.55
,"Morelia, MICH, México",,Week 26 (Jun),83.9,51.9,67.3,,84.6,13.45,,18.3,,68.4,74.36
,"Morelia, MICH, México",,Week 27 (Jul),82.1,53.7,67,,82.6,12.74,,24.2,,62.6,74.82
,"Morelia, MICH, México",,Week 28 (Jul),84.1,52.8,65.9,,84.7,10.27,,13.9,,64.2,77.61
,"Morelia, MICH, México",,Week 29 (Jul),82.3,49.9,66.5,,82.3,8.07,,18.3,,58.6,75.72
,"Morelia, MICH, México",,Week 30 (Jul),82.5,52.4,66.9,,82.6,7.74,,17.2,18.3,59.1,75.07
,"Morelia, MICH, México",,Week 31 (Jul),83,49.9,67.5,,84.3,4.11,,15,,50.5,73.57
,"Morelia, MICH, México",,Week 32 (Aug),83.6,53.7,66.9,,83.3,8.67,,13.9,,62.1,76.68
,"Morelia, MICH, México",,Week 33 (Aug),82.7,53.5,66.9,,83.3,6.23,,23,,54.8,75.96
,"Morelia, MICH, México",,Week 34 (Aug),81.2,52.1,65.5,,83.4,7.75,,16.1,,62.6,80.15
,"Morelia, MICH, México",,Week 35 (Aug),82.7,49.9,66,,83.5,7.38,,16.1,24.2,56.1,77.83
,"Morelia, MICH, México",,Week 36 (Sep),82.5,48.3,66.4,,82.8,7.22,,13.9,18.3,60.5,76.9
,"Morelia, MICH, México",,Week 37 (Sep),83,48.3,66.6,,83.4,5.79,,11.4,,48.5,76.03
,"Morelia, MICH, México",,Week 38 (Sep),82.5,51.7,66.6,,84.3,5.83,,13.9,,62.9,78.48
,"Morelia, MICH, México",,Week 39 (Sep),82.5,49.9,66.3,,83.4,7.78,,13.9,,55.2,77.15
,"Morelia, MICH, México",,Week 40 (Oct),82.7,48.1,65.9,,82.1,5.63,,25.3,,50.3,75.49
,"Morelia, MICH, México",,Week 41 (Oct),86.6,48.1,66.9,,85.8,1.44,,17.2,,41.6,72.95
,"Morelia, MICH, México",,Week 42 (Oct),84.3,42.9,65.9,,83.7,2.73,,23,,48,74.18
,"Morelia, MICH, México",,Week 43 (Oct),82.5,41.1,64.2,47.8,82.6,6.14,,16.1,,41.3,73.65
,"Morelia, MICH, México",,Week 44 (Oct),84.3,44.7,64.2,,82.2,3.32,,16.1,25.3,45.7,77.16
,"Morelia, MICH, México",,Week 45 (Nov),83.6,41.1,63.7,,82.3,1.92,,13.4,15,32.1,76.29
,"Morelia, MICH, México",,Week 46 (Nov),82.1,37.5,62.2,40.5,81.1,0.83,,22.4,,38.2,74.05
,"Morelia, MICH, México",,Week 47 (Nov),84.5,32.1,61.7,,84.2,0.75,,15,,25,74.11
,"Morelia, MICH, México",,Week 48 (Nov),82.7,35.7,60.7,42.4,82.1,1.05,,24.6,,28,72.36
,"Morelia, MICH, México",,Week 49 (Dec),81.6,35.5,60.7,42.6,80.4,0.82,,20.8,,18.5,70.47
,"Morelia, MICH, México",,Week 50 (Dec),79.4,35.5,58.5,39.4,,0.04,,15,,24.4,71.12
,"Morelia, MICH, México",,Week 51 (Dec),80.7,30.3,58.1,44.7,80.6,0.49,,12.8,,21.5,71.04
,"Morelia, MICH, México",,Week 52 (Dec),80.7,33.9,59,46.6,80.3,0.05,,18.3,,19.4,69.22
,"Morelia, MICH, México",,Week 1 (Dec),79.1,39.3,59.7,46.6,,0,,12.8,,23.7,72.34
