Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Morelia, MICH, México",,Week 52 (Dec),77.1,39.3,66.1,,,0,,20.8,,6,48.32
,"Morelia, MICH, México",,Week 1 (Jan),81.2,33.9,62.4,28.6,79.7,0,,20.1,,26.8,51.49
,"Morelia, MICH, México",,Week 2 (Jan),80,33.9,61.3,38.4,,0.15,,26.8,,44,54.34
,"Morelia, MICH, México",,Week 3 (Jan),80.7,30.3,60.5,28.3,79.9,1.6,,26.8,,28.4,53.36
,"Morelia, MICH, México",,Week 4 (Jan),83,32.1,64.1,37.2,81.1,0.31,,26.8,,29.7,49.54
,"Morelia, MICH, México",,Week 5 (Jan),81.8,33.9,62.8,41.2,79.8,1.62,,20.8,,53,52.02
,"Morelia, MICH, México",,Week 6 (Feb),85.2,32.1,66.1,26.5,82.3,0,,26.8,,35.9,46.07
,"Morelia, MICH, México",,Week 7 (Feb),87,41.1,67.3,39,83.5,0.32,,26.8,,29.9,47.17
,"Morelia, MICH, México",,Week 8 (Feb),84.3,35.7,65.9,41.3,81.7,3.41,,29.1,,42,45.82
,"Morelia, MICH, México",,Week 9 (Feb),86.1,35.7,66.6,39.3,83.8,1.66,,25.3,,43.1,43.65
,"Morelia, MICH, México",,Week 10 (Mar),91.5,41.1,69.3,45.7,88.8,0.89,,34.4,,31.6,40.32
,"Morelia, MICH, México",,Week 11 (Mar),87.9,42.9,69,39.3,85,8.06,,29.1,,33.1,41.2
,"Morelia, MICH, México",,Week 12 (Mar),88.4,41.1,70.2,39.9,84.8,0.04,,33.5,,31.1,34.74
,"Morelia, MICH, México",,Week 13 (Mar),90.2,44.7,70.8,43.9,86.3,0.04,,26.8,,36.1,36.1
,"Morelia, MICH, México",,Week 14 (Apr),93.8,46.5,72.1,,89.2,0.26,,23,,46.1,38.04
,"Morelia, MICH, México",,Week 15 (Apr),95.3,46.5,73.1,42,91,3.98,,20.1,,38.1,38.86
,"Morelia, MICH, México",,Week 16 (Apr),93.3,48.3,75.8,,89.8,2.21,,23,,32.5,39.11
,"Morelia, MICH, México",,Week 17 (Apr),92.4,50.1,74.8,,90.1,0.59,,24.6,,34.6,40.55
,"Morelia, MICH, México",,Week 18 (Apr),96.9,50.1,75.3,,92.9,0.39,,26.8,,36.7,35.7
,"Morelia, MICH, México",,Week 19 (May),96,48.3,74.6,,94.5,2.51,,24.6,,52.5,43.26
,"Morelia, MICH, México",,Week 20 (May),93.5,51.9,75.8,,92.3,0.87,,51.7,,42.2,42.02
,"Morelia, MICH, México",,Week 21 (May),93.3,46.5,74.9,,91,7.36,,42.5,,58,49.07
,"Morelia, MICH, México",,Week 22 (May),95.1,53.9,75.5,,91.2,13.85,,26.8,,57.9,51.35
,"Morelia, MICH, México",,Week 23 (Jun),95.1,57.3,73,,91.7,9.98,,20.1,,67.3,58.48
,"Morelia, MICH, México",,Week 24 (Jun),95.1,52.4,72.1,,91.7,5.79,,22.4,,74,61.43
,"Morelia, MICH, México",,Week 25 (Jun),86.1,53.7,70.5,,83.7,6.66,,33.5,,73.9,63
,"Morelia, MICH, México",,Week 26 (Jun),84.3,53.7,71,,84.4,13.64,,24.6,,74.5,62.8
,"Morelia, MICH, México",,Week 27 (Jul),82.7,50.6,69.6,,83.4,15.74,,23,,75.6,66.96
,"Morelia, MICH, México",,Week 28 (Jul),84.3,51.9,70.3,,83.2,9.82,,26.8,,67.2,64.36
,"Morelia, MICH, México",,Week 29 (Jul),83.6,50.1,69.1,,83.6,18.18,,35.8,,72.6,67.43
,"Morelia, MICH, México",,Week 30 (Jul),84.3,42.9,69,38.7,85,22.64,,26.8,,75.9,67.8
,"Morelia, MICH, México",,Week 31 (Jul),86.1,51.9,69.4,,84.3,12.05,,98.4,,78.3,66.01
,"Morelia, MICH, México",,Week 32 (Aug),84.4,51.9,69,,83.8,22.54,,20.1,,76.9,67.49
,"Morelia, MICH, México",,Week 33 (Aug),87.5,48.3,69.3,,86.6,12.11,,17.9,,70.2,66.44
,"Morelia, MICH, México",,Week 34 (Aug),84.3,50.1,68.9,,83.2,15.73,,20.8,,74.7,68.81
,"Morelia, MICH, México",,Week 35 (Aug),97.4,50.1,69,,96.6,19.35,,42.4,,79.4,69.34
,"Morelia, MICH, México",,Week 36 (Sep),84.3,49.7,68.8,,83.6,21.2,,18.3,,70.6,67.74
,"Morelia, MICH, México",,Week 37 (Sep),85.4,50.1,69.2,,83.1,12.86,,23,,73.5,67.85
,"Morelia, MICH, México",,Week 38 (Sep),83.4,48.3,69.1,,81.6,21.22,,35.8,,69.2,66.07
,"Morelia, MICH, México",,Week 39 (Sep),84.3,46.5,68.1,,82.6,5.55,,29,,71.6,66.98
,"Morelia, MICH, México",,Week 40 (Oct),84.3,48.3,67.9,,82.8,17.31,,24.6,,67.9,67.41
,"Morelia, MICH, México",,Week 41 (Oct),82.6,48.3,67.7,,82.5,21.15,,18.3,,74.3,68.59
,"Morelia, MICH, México",,Week 42 (Oct),82.5,41.1,67,,81.8,14.62,,22.4,,46.6,62.59
,"Morelia, MICH, México",,Week 43 (Oct),84.3,41.1,67.1,41.6,83.2,8.79,,24.5,,50.4,63.93
,"Morelia, MICH, México",,Week 44 (Oct),81.8,39.3,65.6,41.2,81,8.13,,28.9,,37.7,61.68
,"Morelia, MICH, México",,Week 45 (Nov),83.6,39.3,64.8,45,81.7,12.64,,23,,34.9,61.41
,"Morelia, MICH, México",,Week 46 (Nov),83.6,41.1,64.2,43.6,81.4,2.16,,22.3,,36.1,59.89
,"Morelia, MICH, México",,Week 47 (Nov),80.7,30.3,61.7,36.1,80.9,4.28,,33.5,,30.7,58.89
,"Morelia, MICH, México",,Week 48 (Nov),81.2,30.3,62.3,33.7,80.2,0.19,,26.4,,26.1,57.88
,"Morelia, MICH, México",,Week 49 (Dec),80.9,35.7,62.7,31.7,80.4,0.08,,33.5,,33.5,55.07
,"Morelia, MICH, México",,Week 50 (Dec),80.7,37.5,62.4,32.9,80.9,0,,31.3,,44.1,53.88
,"Morelia, MICH, México",,Week 51 (Dec),77.3,30.3,59.2,38.7,,0.56,,26.8,,32.9,53.16
,"Morelia, MICH, México",,Week 52 (Dec),83.6,28.5,60.8,35,81.5,0.5,,29.1,,49.8,55.09
,"Morelia, MICH, México",,Week 1 (Dec),77.1,32.1,60.3,42.7,,0,,21.9,,33.3,51.3
