Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Zamora, MICH, México",,Week 52 (Dec),84.5,47.9,67,,83.2,0,,11.2,,35.8,63.61
,"Zamora, MICH, México",,Week 1 (Jan),87.9,40.4,64,44,84.3,0.04,,55.9,,40.4,58
,"Zamora, MICH, México",,Week 2 (Jan),86.6,35.7,63,39.3,84.2,4.62,,22.4,,35.1,56.38
,"Zamora, MICH, México",,Week 3 (Jan),86.3,36.2,63.9,44.5,83.4,0.48,,11.4,,41,56.5
,"Zamora, MICH, México",,Week 4 (Jan),86.3,41.1,63.4,46.6,82.9,0.66,,17.9,,37.5,57.31
,"Zamora, MICH, México",,Week 5 (Jan),87.9,39.3,63.5,43,85,0.05,,20.1,,36.9,53.08
,"Zamora, MICH, México",,Week 6 (Feb),89.3,41.3,64.8,43,88.3,1.37,,20.1,,40.4,55.38
,"Zamora, MICH, México",,Week 7 (Feb),89.3,46.5,67.3,,87.6,0.37,,15.7,,31.9,53.98
,"Zamora, MICH, México",,Week 8 (Feb),91.5,45.2,68.6,,89.2,0.16,,20.1,,23.4,52.2
,"Zamora, MICH, México",,Week 9 (Feb),92.6,46.5,70.4,,88.9,0.12,,15.7,,16.8,49.38
,"Zamora, MICH, México",,Week 10 (Mar),92,40.7,68.9,40.3,89.9,1.56,,17.9,,28.6,51.24
,"Zamora, MICH, México",,Week 11 (Mar),93.5,42.5,69.7,,91,5.48,,35.8,,38.7,50.6
,"Zamora, MICH, México",,Week 12 (Mar),94.7,50.3,71.6,,91.4,0.39,,15.7,,30.6,49.6
,"Zamora, MICH, México",,Week 13 (Mar),96.2,50.6,72.6,,94.5,0.04,,20.1,,19.9,43.03
,"Zamora, MICH, México",,Week 14 (Apr),95.1,47.6,73.5,,90.7,0,,13.4,,25.1,41.73
,"Zamora, MICH, México",,Week 15 (Apr),95.6,48.3,73.1,,93.1,0,,20.1,,24.3,37.34
,"Zamora, MICH, México",,Week 16 (Apr),96.9,50.6,74.7,,93.9,0,,26.8,,23.4,38.12
,"Zamora, MICH, México",,Week 17 (Apr),98,46.7,75.1,,94.7,0,,13.9,,37.7,36.03
,"Zamora, MICH, México",,Week 18 (Apr),98.3,52.4,75.4,,93.7,2.57,,17.9,,38.7,43.1
