Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Zamora, MICH, México",,Week 52 (Dec),79.4,44.7,65.2,,,0.33,,11.4,,57.3,61.19
,"Zamora, MICH, México",,Week 1 (Jan),83,41.1,64.5,47.8,81.3,0.2,,11.4,,51,61.29
,"Zamora, MICH, México",,Week 2 (Jan),82.1,40.7,64.7,40.6,80.3,4.28,,22.4,,46.2,57.91
,"Zamora, MICH, México",,Week 3 (Jan),82.5,40.8,64.7,,80.1,0.43,,13.9,,46.8,58.99
,"Zamora, MICH, México",,Week 4 (Jan),82.5,44.7,65.4,43,80.9,1.14,,15.6,,46.7,62.95
,"Zamora, MICH, México",,Week 5 (Jan),83.6,37.5,64.3,,81.5,3.91,,15.6,,47.7,64.03
,"Zamora, MICH, México",,Week 6 (Feb),84.8,42.9,65.9,,82.8,0.24,,17.9,,33.1,56.82
,"Zamora, MICH, México",,Week 7 (Feb),87.2,42.9,67,,84.5,0.16,,13.4,,26.4,57.32
,"Zamora, MICH, México",,Week 8 (Feb),85.4,43.1,67.9,,85.5,0.29,,20.1,,29.8,54.58
,"Zamora, MICH, México",,Week 9 (Feb),89.7,42.9,68.5,46.1,85.7,0.09,,13.4,,24.4,47.88
,"Zamora, MICH, México",,Week 10 (Mar),88.4,42.9,68.6,,85.2,0,,26.8,,39.4,48.89
,"Zamora, MICH, México",,Week 11 (Mar),88.4,44.7,69.7,,84.7,0.01,,15.6,,35.3,50.34
,"Zamora, MICH, México",,Week 12 (Mar),88.4,44.7,70.6,,84.7,0,,20.1,,34.3,44.24
,"Zamora, MICH, México",,Week 13 (Mar),89.7,49.7,71.5,,86.1,0,,20.1,,29.9,45.22
,"Zamora, MICH, México",,Week 14 (Apr),90.8,48.3,72.1,,86.7,0.16,,17.9,,27.7,46.88
,"Zamora, MICH, México",,Week 15 (Apr),91.5,47.9,71.6,,87.6,0,,17.9,,21.2,46.88
,"Zamora, MICH, México",,Week 16 (Apr),91.5,48.3,72.9,,88,0,,110.7,,36.1,46.24
