Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Zamora, MICH, México",,Week 17 (Apr),91.5,46.5,73.6,,87.6,0.02,,20.1,,22.2,42.54
,"Zamora, MICH, México",,Week 18 (Apr),95.6,46.5,74.4,,92.7,0.02,,15.7,,23.6,43.94
,"Zamora, MICH, México",,Week 19 (May),95.1,53.7,75.2,,91,0.23,,17.9,,39.9,45.77
,"Zamora, MICH, México",,Week 20 (May),96.5,53.7,74.2,,93.2,1.65,,46.9,,44.7,49.97
,"Zamora, MICH, México",,Week 21 (May),95.2,53.7,73.2,,91.4,1.86,,20.1,,43.8,54.26
,"Zamora, MICH, México",,Week 22 (May),97.4,53.7,74.4,,93,0.47,,26.8,,32.7,55.81
,"Zamora, MICH, México",,Week 23 (Jun),95.1,55.5,74.2,,91.6,2.98,,13.9,,46.7,59.84
,"Zamora, MICH, México",,Week 24 (Jun),95.3,59.1,72.9,,92.4,1.06,,17.2,,67.5,67.6
,"Zamora, MICH, México",,Week 25 (Jun),90.2,55.5,71.1,,89.4,3.92,,23,,76.8,72.32
,"Zamora, MICH, México",,Week 26 (Jun),87.9,55.5,69.9,,88.4,6.48,,20.1,,81.2,76.94
,"Zamora, MICH, México",,Week 27 (Jul),86,59.1,69.7,,85,3.63,,11.4,,85.9,78.59
,"Zamora, MICH, México",,Week 28 (Jul),87.8,57.3,70,,86.6,4.39,,11.4,,78.4,76.5
,"Zamora, MICH, México",,Week 29 (Jul),88.4,57.3,69.8,,88.6,3.92,,15.6,,78.5,76.62
,"Zamora, MICH, México",,Week 30 (Jul),86.3,56.9,69.4,,87.5,9.16,,20.1,,76,76.96
,"Zamora, MICH, México",,Week 31 (Jul),88.1,55.5,69.9,,87.7,3.89,,17.9,,73.8,74.85
,"Zamora, MICH, México",,Week 32 (Aug),87.9,56.6,69.3,,87,9.04,,17.2,,75.9,77.06
,"Zamora, MICH, México",,Week 33 (Aug),87.5,57.3,69.8,,86.8,5.57,,20.1,,77.2,77.16
,"Zamora, MICH, México",,Week 34 (Aug),86.1,59.1,69.1,,85.1,5.85,,22.3,,80.7,79.26
,"Zamora, MICH, México",,Week 35 (Aug),84.5,57.3,69.2,,84.5,2.21,,49.1,,80.6,79.07
,"Zamora, MICH, México",,Week 36 (Sep),84.8,55.5,69.1,,83.4,4.72,,44.7,,77.4,78.91
,"Zamora, MICH, México",,Week 37 (Sep),85.3,57.3,69.1,,88.6,3.79,,24.6,,79.8,80.89
,"Zamora, MICH, México",,Week 38 (Sep),84.4,55.5,68.6,,84.3,4.51,,38,,72.2,79.32
,"Zamora, MICH, México",,Week 39 (Sep),86.2,52.4,69.3,,83.9,0.5,,17.9,,68.2,75.19
,"Zamora, MICH, México",,Week 40 (Oct),86.1,51.9,68.8,,92.3,1.34,,17.9,,55.7,73.01
,"Zamora, MICH, México",,Week 41 (Oct),87,46.5,68.6,,87.6,2.45,,20.1,,67.9,78.06
,"Zamora, MICH, México",,Week 42 (Oct),87.5,52.4,68.6,,85.3,0.89,,20.1,,53.6,74.72
,"Zamora, MICH, México",,Week 43 (Oct),86.1,44,67.4,,84.4,0.64,,44.7,,50.3,70.05
,"Zamora, MICH, México",,Week 44 (Oct),84.5,43.1,67.5,40.9,83.2,0.43,,24.6,,35.6,65.51
,"Zamora, MICH, México",,Week 45 (Nov),86.6,37.7,66.7,46.6,83.4,0,,49.2,,35.8,64.88
,"Zamora, MICH, México",,Week 46 (Nov),84.3,33.6,66.6,47,82.2,0,,15.6,,32.8,65.49
,"Zamora, MICH, México",,Week 47 (Nov),83.6,44.7,65.4,,81.4,0,,20.1,,38.3,62.43
,"Zamora, MICH, México",,Week 48 (Nov),83.9,38.6,66.4,46.8,82.6,0,,26.8,,27.8,61.42
,"Zamora, MICH, México",,Week 49 (Dec),81.8,34.1,64.6,44.5,80,0.39,,44.6,,44.8,64.61
,"Zamora, MICH, México",,Week 50 (Dec),82.5,39.8,64.9,38.4,83.5,0,,69.2,,33.2,60.34
,"Zamora, MICH, México",,Week 51 (Dec),80.9,43.4,65.2,42,81.2,0.22,,17.9,,34.7,60.6
,"Zamora, MICH, México",,Week 52 (Dec),81.2,39.3,63.7,43,79.1,0,,15.7,,34.6,55.38
,"Zamora, MICH, México",,Week 1 (Dec),79.4,41.1,65.3,46.6,,0,,17.9,,53.9,59.62
