Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Zamora, MICH, México",,Week 38 (Sep),87.9,55.7,69.7,,88.5,5.71,,22.3,,69.2,75.05
,"Zamora, MICH, México",,Week 39 (Sep),89.9,52.4,69.9,,89.5,4.09,,15.6,,52.6,70.89
,"Zamora, MICH, México",,Week 40 (Oct),87.8,45.2,68.8,,87.4,1.58,,20.1,,44.6,67.87
,"Zamora, MICH, México",,Week 41 (Oct),89.3,46.5,68.7,,88.2,3.44,,13.4,,52.6,71.94
,"Zamora, MICH, México",,Week 42 (Oct),89.3,44.9,69.3,,86.4,1.53,,23,,41.9,67.6
,"Zamora, MICH, México",,Week 43 (Oct),87.2,44.3,68.3,,85.7,2.7,,24.6,,38.4,64.8
,"Zamora, MICH, México",,Week 44 (Oct),85.4,43.1,66.7,40.9,84.7,1.9,,15.7,,40.3,66.55
,"Zamora, MICH, México",,Week 45 (Nov),89.7,37.7,66.3,,89,0.77,,67.1,,41,66.28
,"Zamora, MICH, México",,Week 46 (Nov),91.5,44.9,66.7,,88.3,0.22,,17.9,,37.7,64.39
,"Zamora, MICH, México",,Week 47 (Nov),89.3,49.4,66.5,,86.3,1.07,,20.1,,37.6,65.73
,"Zamora, MICH, México",,Week 48 (Nov),86.1,37.1,64.1,44.7,84.2,0.05,,13.4,,29.3,58.24
,"Zamora, MICH, México",,Week 49 (Dec),88.1,38,63.6,44.5,84.5,0.83,,11.4,,21.8,60.95
,"Zamora, MICH, México",,Week 50 (Dec),83,39.8,62.8,38.4,81.1,0.3,,69.2,,34.1,61.61
,"Zamora, MICH, México",,Week 51 (Dec),83.9,43.4,63.3,42,81.4,0.03,,17.9,,19.7,59.68
,"Zamora, MICH, México",,Week 52 (Dec),83,41.6,61.5,47.8,83,1.81,,22.4,,50.7,65.98
,"Zamora, MICH, México",,Week 1 (Dec),86.1,44.3,63.2,,83.9,0.04,,13.4,,51,68.05
