Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Morelia, MICH, México",,Week 52 (Dec),77.1,39.3,60.3,,,0.35,,20.8,,37.9,63.28
,"Morelia, MICH, México",,Week 1 (Jan),80.9,33.9,58.6,35,79.7,1.56,,19.5,,31.8,60.13
,"Morelia, MICH, México",,Week 2 (Jan),82.7,32.1,59.5,36.1,80.4,0.21,,44.7,,23.5,56.94
,"Morelia, MICH, México",,Week 3 (Jan),83.9,33.9,59.9,40.8,81.2,0.63,,27.5,,32.4,58.14
,"Morelia, MICH, México",,Week 4 (Jan),82.5,41.1,61.6,38,81.1,2.58,,20.8,,42.4,60.57
,"Morelia, MICH, México",,Week 5 (Jan),84.5,37.5,60.2,36.5,83.2,6.25,,23,,42,59.64
,"Morelia, MICH, México",,Week 6 (Feb),85.2,39.3,62.7,41.5,82.4,0.65,,25.3,,30,55.66
,"Morelia, MICH, México",,Week 7 (Feb),86.6,41.1,65,39.3,83.2,0.21,,19.5,,15.6,52.53
,"Morelia, MICH, México",,Week 8 (Feb),87.5,40.4,65,43.6,84.7,3.37,,23,,22.6,52.98
,"Morelia, MICH, México",,Week 9 (Feb),90.8,41.1,65.6,39.3,86.5,1.19,,25.3,,20.9,44.7
,"Morelia, MICH, México",,Week 10 (Mar),89.7,39.3,66.1,38.2,87.3,0.04,,49.2,,27.9,43.53
,"Morelia, MICH, México",,Week 11 (Mar),90.8,42.9,67.1,39.3,87.1,7.12,,40.2,,33.4,48.31
,"Morelia, MICH, México",,Week 12 (Mar),89.3,42.9,68.1,41.5,86,0.15,,25.3,,34.4,41.09
,"Morelia, MICH, México",,Week 13 (Mar),89.7,44.7,70.3,,86.5,0.42,,25.3,,28.9,39.97
,"Morelia, MICH, México",,Week 14 (Apr),94.4,46.5,72.6,,89.6,0.68,,19.5,,24.7,37.13
,"Morelia, MICH, México",,Week 15 (Apr),92.6,48.3,72.2,,88.1,0.12,,20.8,,24.2,36.87
,"Morelia, MICH, México",,Week 16 (Apr),92.9,44.7,73.5,,89.8,1.77,,27.5,,34.7,39.18
