Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Morelia, MICH, México",,Week 17 (Apr),95.3,48.3,73,,90.8,0.91,,23,,27.5,38.86
,"Morelia, MICH, México",,Week 18 (Apr),96.5,44.7,72.3,,92.7,1.15,,23,,23.6,38.82
,"Morelia, MICH, México",,Week 19 (May),95.1,48.3,74.5,,91.5,0.84,,25.3,,44,40.94
,"Morelia, MICH, México",,Week 20 (May),93.5,54.2,72.5,,90,4.93,,23,,44.5,46.43
,"Morelia, MICH, México",,Week 21 (May),92.6,52.8,72.1,,88.8,7.7,,32.2,,45,47.69
,"Morelia, MICH, México",,Week 22 (May),95.3,54.2,74.4,,91.6,0.98,,23,,33.5,45.26
,"Morelia, MICH, México",,Week 23 (Jun),95.1,53.7,73.8,,91.7,4.9,,26.4,,39.7,50.57
,"Morelia, MICH, México",,Week 24 (Jun),95.1,55.7,72.5,,91.7,4.54,,19.5,,56.1,55.88
,"Morelia, MICH, México",,Week 25 (Jun),87.9,55.5,70.6,,85,9.6,,25.3,,67,61.85
,"Morelia, MICH, México",,Week 26 (Jun),86.1,50.1,70.3,,84,12.4,,23,,72,62.55
,"Morelia, MICH, México",,Week 27 (Jul),83,54.8,68.9,,83,8.15,,23,,75.5,68.64
,"Morelia, MICH, México",,Week 28 (Jul),84.3,55.5,69.4,,83.2,11.48,,19.5,,71,67.62
,"Morelia, MICH, México",,Week 29 (Jul),84.3,53.7,68.8,,82.6,18.34,,23,,69.6,68.86
,"Morelia, MICH, México",,Week 30 (Jul),89,53.7,68.8,,87,10.09,,17.2,,67.3,68.16
,"Morelia, MICH, México",,Week 31 (Jul),84.8,53.7,68.7,,84,9.44,,25.3,,69.8,69.43
,"Morelia, MICH, México",,Week 32 (Aug),84.5,53.7,67.6,,84.6,12.65,,19.5,,68.1,71.91
,"Morelia, MICH, México",,Week 33 (Aug),85.7,53.7,68,,85.7,8.94,,23,,63.2,71.42
,"Morelia, MICH, México",,Week 34 (Aug),82.5,55.5,67.7,,81.8,12.97,,23,,72.2,73.31
,"Morelia, MICH, México",,Week 35 (Aug),80.9,57.3,67.1,,81.5,17.47,,23,,75.1,75.96
,"Morelia, MICH, México",,Week 36 (Sep),82.5,53.7,68.2,,82.6,10.45,,18.3,,67.9,71.13
,"Morelia, MICH, México",,Week 37 (Sep),82.7,51.9,67.9,,82.6,8.88,,18.3,,70.6,73.54
,"Morelia, MICH, México",,Week 38 (Sep),82.7,50.1,67.4,,81.6,7.86,,40.3,,59.9,70.48
,"Morelia, MICH, México",,Week 39 (Sep),82.5,47.9,66.8,,81.7,1.85,,26.8,,52.9,68.83
,"Morelia, MICH, México",,Week 40 (Oct),82.5,44.7,65.7,45.8,82.8,4.14,,23,,41.3,68.47
,"Morelia, MICH, México",,Week 41 (Oct),84.8,46.5,66.4,,84.5,5.75,,22.3,,56.4,71.33
,"Morelia, MICH, México",,Week 42 (Oct),86.6,42.9,66.2,,85.5,2.39,,30,,34.7,67.53
,"Morelia, MICH, México",,Week 43 (Oct),87.2,39.3,64.5,46.6,85.1,2.22,,23,,39.3,66.99
,"Morelia, MICH, México",,Week 44 (Oct),83.6,30.3,61.9,41.2,81.4,0.06,,29.1,,22.3,64.46
,"Morelia, MICH, México",,Week 45 (Nov),82.5,35.3,61.9,,80.6,0.25,,18.3,,23.6,64.69
,"Morelia, MICH, México",,Week 46 (Nov),83.6,37.5,61.7,43.6,81.2,1.52,,20.8,,22.8,64.15
,"Morelia, MICH, México",,Week 47 (Nov),82.1,35.7,58.9,34.2,80.7,0.12,,27.5,,17.2,65.31
,"Morelia, MICH, México",,Week 48 (Nov),83.6,33.9,60.6,37.2,81.3,0.25,,17.2,,13.2,63.99
,"Morelia, MICH, México",,Week 49 (Dec),78.2,30.3,59.7,34,,0.38,,25.3,,30.3,60.94
,"Morelia, MICH, México",,Week 50 (Dec),82.7,33.9,61,29.3,82,0,,23,,20.7,59.04
,"Morelia, MICH, México",,Week 51 (Dec),80.7,33.9,60.4,45.1,79,0.11,,24.6,,26.2,60.57
,"Morelia, MICH, México",,Week 52 (Dec),82.5,33.9,59.5,35,79.6,0,,17.2,,21.3,53.33
,"Morelia, MICH, México",,Week 1 (Dec),78.9,33.9,60.3,,,0,,13.4,,28.5,62.71
